Unnamed: 0,reviews,ratings,days,options,buyer_categorys,유통기한,포장,맛 만족도,Okt_tokens,KNU_Score,KNU_label
18,아이도 잘 먹고 있어요,5,2024.03.19.,구매자거주인원 3인취학자녀 가정유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 3인취학자녀 가정,아주 넉넉해요,꼼꼼해요,맛있어요,"['아이', '도', '잘', '먹고', '있어요']",1,긍정
19,굿~~~재주문 입니다~~!!,5,2024.03.19.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요,"['굿', '~~~', '재', '주문', '입니다', '~~!!']",0,중립
20,"고기랑 맛있게 잘먹어요~~
초딩 아들 입맛에도 맛있다고 하네요~~!!",5,2024.03.19.,구매자거주인원 3인영유아 가정유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 3인영유아 가정,아주 넉넉해요,꼼꼼해요,맛있어요,"['고기랑', '맛있게', '잘', '먹어요', '~~', '\n', '초딩', '아들', '입맛', '에도', '맛있다고', '하네요', '~~!!']",3,긍정
21,자주 재구매하는 상품이에요,5,2024.03.16.,유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,,꽤 남았어요,적당해요,맛있어요,"['자주', '재구', '매하', '는', '상품', '이에요']",0,중립
22,진짜맛이습니다ㅋㅋ 또시킬예정 진짜괜찮음,5,2024.03.16.,구매자거주인원 3인신혼/부부유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 3인신혼/부부,아주 넉넉해요,꼼꼼해요,맛있어요,"['진짜', '맛', '이습', '니', '다', 'ㅋㅋ', '또', '시킬', '예정', '진짜', '괜찮음']",0,중립
23,가족모두 너무 맛있게 잘 먹었습니다. 나중엔 아껴먹었어요. 다시 사먹을 예정입니다!!,5,2024.03.16.,구매자거주인원 4인대가족유통기한아주 넉넉해요포장적당해요맛 만족도맛있어요,구매자거주인원 4인대가족,아주 넉넉해요,적당해요,맛있어요,"['가족', '모두', '너무', '맛있게', '잘', '먹었습니다', '.', '나중', '엔', '아껴', '먹었어요', '.', '다시', '사먹을', '예정', '입니다', '!!']",3,긍정
24,떨어질때마다 재주문하고 있습니다ㆍ입맛 돋워주는 깔끔한 맛이예요~,5,2024.03.15.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요,"['떨어질', '때', '마다', '재', '주문', '하고', '있습니다', 'ㆍ', '입맛', '돋워', '주는', '깔끔한', '맛', '이', '예요', '~']",2,긍정
25,포장도 깔끔히 잘 되어있고 아주 맛있습니다.,5,2024.03.15.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['포장', '도', '깔끔히', '잘', '되어있고', '아주', '맛있습니다', '.']",1,긍정
26,입맛없는 언니한텨 보냈더니 아삭하고 맛있다고 하여 기분 좋았어요,5,2024.03.15.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요,"['입맛', '없는', '언', '니', '한', '텨', '보냈더니', '아', '삭', '하고', '맛있다고', '하여', '기분', '좋았어요']",0,중립
27,긍채를 나물로만 먹다가 식당에서 장아찌로 먹어봤더니 괜찮아서 찾아서 주문했네요. 맛있네요,5,2024.03.14.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요,"['긍채', '를', '나물', '로만', '먹다가', '식당', '에서', '장아찌', '로', '먹어', '봤더니', '괜찮아서', '찾아서', '주문', '했네요', '.', '맛있네요']",0,중립
28,무조건 재구매 각 입니다,5,2024.03.14.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['무조건', '재구매', '각', '입니다']",0,중립
29,"온 가족이 좋아해요~~ 꼬마김밥 싸먹을때 넣어주니 아이가 참 잘 먹네요^^
앞으로도 잘 부탁드립니다!!!",5,2024.03.14.,구매자거주인원 3인취학자녀 가정유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 3인취학자녀 가정,아주 넉넉해요,꼼꼼해요,맛있어요,"['온', '가족', '이', '좋아해요', '~~', '꼬마', '김밥', '싸', '먹을', '때', '넣어주니', '아이', '가', '참', '잘', '먹네요', '^^', '\n', '앞', '으로도', '잘', '부탁드립니다', '!!!']",3,긍정
30,"새콤하고 적당히달달하고 아주아삭하니 너무맛있습니다.
재구매의사있습니다.",5,2024.03.13.,구매자거주인원 4인유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,구매자거주인원 4인,꽤 남았어요,적당해요,맛있어요,"['새', '콤', '하고', '적당히', '달달', '하고', '아주', '아', '삭', '하', '니', '너무', '맛있습니다', '.', '\n', '재구매', '의사', '있습니다', '.']",0,중립
31,고기 먹을때 같이먹으면 맛있어요,5,2024.03.13.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['고기', '먹을', '때', '같이', '먹으면', '맛있어요']",0,중립
32,"우리집 단골메뉴로 늘 주문해서 먹고 있어요
매번 3개씩 주문해서 자취하는 딸들이 하나씩 가져가 먹고 떨어져서 다시 주문합니다~",5,2024.03.13.,구매자거주인원 4인대가족유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 4인대가족,아주 넉넉해요,꼼꼼해요,맛있어요,"['우리', '집', '단골', '메뉴', '로', '늘', '주문', '해서', '먹고', '있어요', '\n', '매번', '3', '개', '씩', '주문', '해서', '자취', '하는', '딸', '들', '이', '하나', '씩', '가져가', '먹고', '떨어져서', '다시', '주문', '합니다', '~']",0,중립
33,궁채 짱아찌를 너무 좋아합니다 잘 먹겠습니다,4,2024.03.12.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요,"['궁채', '짱아찌', '를', '너무', '좋아합니다', '잘', '먹겠습니다']",1,긍정
34,오독오독 식감 좋고 맛도 좋아요,5,2024.03.12.,구매자거주인원 4인취학자녀 가정유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 4인취학자녀 가정,아주 넉넉해요,꼼꼼해요,맛있어요,"['오독오독', '식감', '좋고', '맛', '도', '좋아요']",2,긍정
35,짜지 않고  맛있어서  스파게티나 기름진음식 먹을때 좋아요,5,2024.03.12.,구매자거주인원 4인대가족유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 4인대가족,꽤 남았어요,꼼꼼해요,맛있어요,"['짜지', '않고', '맛있어서', '스파게티', '나', '기름진', '음식', '먹을', '때', '좋아요']",0,중립
36,늘 멋던거라~ 지인에게 한통 선물 했는데 너무 맛있다며~~~난리난리네요,5,2024.03.12.,구매자거주인원 2인싱글유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 2인싱글,아주 넉넉해요,꼼꼼해요,맛있어요,"['늘', '멋', '던거라', '~', '지인', '에게', '한', '통', '선물', '했는데', '너무', '맛있다며', '~~~', '난리', '난리', '네', '요']",2,긍정
37,식감조아요 오독오독  씹히는 맛이 좋으네요  여행가서 맛있게  먹은 기억이  있어 여기저기  찾아봣는데  리뷰가 많아서 선택해봣는데 신맛이  강한거제외하곤 고기먹고  깔끔하게 입맛낼수  잇어 좋은것 같아요,4,2024.03.11.,구매자거주인원 4인대가족유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,구매자거주인원 4인대가족,꽤 남았어요,적당해요,맛있어요,"['식감', '조', '아', '요', '오독오독', '씹히는', '맛', '이', '좋으네요', '여행가', '서', '맛있게', '먹은', '기억', '이', '있어', '여기저기', '찾아', '봣', '는데', '리뷰', '가', '많아서', '선택', '해', '봣', '는데', '신맛', '이', '강한', '거제', '외하곤', '고기', '먹고', '깔끔하게', '입맛', '낼수', '잇어', '좋은', '것', '같아요']",3,긍정
38,너무너무 맛있어요^^너무 짜거나 너무 시지도 않아서 너무 좋았답니다^^최고에요!,5,2024.03.11.,구매자거주인원 3인대가족유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 3인대가족,아주 넉넉해요,꼼꼼해요,맛있어요,"['너무', '너무', '맛있어요', '^^', '너무', '짜거나', '너무', '시지', '도', '않아서', '너무', '좋았답니다', '^^', '최고', '에요', '!']",4,긍정
39,사각사각 맛있는 장아찌 입니다^^,5,2024.03.11.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['사각사각', '맛있는', '장아찌', '입니다', '^^']",3,긍정
40,첫 주문인데 맛있어요 :),5,2024.03.11.,맛 만족도평범해요유통기한꽤 남았어요포장적당해요,,평범해요,꽤 남았어요,적당해요,"['첫', '주문', '인데', '맛있어요', ':)']",-1,부정
41,정말  맛있게  잘  먹었어요. 고기랑  먹을 때  깔끔해요.,5,2024.03.11.,유통기한아주 넉넉해요포장적당해요맛 만족도맛있어요,,아주 넉넉해요,적당해요,맛있어요,"['정말', '맛있게', '잘', '먹었어요', '.', '고기랑', '먹을', '때', '깔끔해요', '.']",3,긍정
42,제가 찾던 궁체 보다  간장맛이 더 강하네요..,4,2024.03.10.,구매자거주인원 1인싱글맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요,구매자거주인원 1인싱글,평범해요,아주 넉넉해요,꼼꼼해요,"['제', '가', '찾던', '궁체', '보다', '간장', '맛', '이', '더', '강하네요', '..']",0,중립
43,아삭하니 아주 맛있어요,5,2024.03.09.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요,"['아', '삭', '하', '니', '아주', '맛있어요']",0,중립
44,약간 새콤한 맛이 더 강한 장아찌네요~!  잘먹겠습니다,4,2024.03.08.,유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,,꽤 남았어요,적당해요,맛있어요,"['약간', '새', '콤', '한', '맛', '이', '더', '강한', '장아찌', '네', '요', '~!', '잘', '먹겠습니다']",1,긍정
45,고기먹을때 한번행궈서 싸먹어요,3,2024.03.08.,구매자거주인원 4인취학자녀 가정맛 만족도평범해요유통기한꽤 남았어요포장적당해요,구매자거주인원 4인취학자녀 가정,평범해요,꽤 남았어요,적당해요,"['고기', '먹을', '때', '한번행궈', '서', '싸', '먹어요']",0,중립
46,맛있어요. 잘 먹고 있어용,5,2024.03.07.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요,"['맛있어요', '.', '잘', '먹고', '있어용']",1,긍정
47,좋아하는 고기집 그 맛은 아니지만 오독오독 식감 좋고 먹을만했어요,5,2024.03.07.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['좋아하는', '고기', '집', '그', '맛', '은', '아니지만', '오독오독', '식감', '좋고', '먹을만', '했어요']",4,긍정
48,맛잇어서 재주문햇엇는데조아오ㅡㅋ,5,2024.03.07.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['맛', '잇어서', '재주', '문', '햇', '엇', '는데', '조아', '오', 'ㅡㅋ']",1,긍정
49,"맛있어서 생각날때 시켜먹었는데 이번 배송 상태는 좀 엉망이었어요
아이스팩도 없고 박스는 다 깨져서 테이프로 칭칭갑아서 왔더라구요
포장에 신경써주세요",4,2024.03.06.,유통기한꽤 남았어요포장별로예요맛 만족도맛있어요,,꽤 남았어요,별로예요,맛있어요,"['맛있어서', '생각날', '때', '시켜', '먹었는데', '이번', '배송', '상태', '는', '좀', '엉망', '이었어요', '\n', '아이스팩', '도', '없고', '박스', '는', '다', '깨져서', '테이프', '로', '칭칭', '갑아서', '왔더라구요', '\n', '포장', '에', '신경', '써주세요']",0,중립
50,마니파세요마니파세요,5,2024.03.06.,구매자거주인원 4인대가족유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 4인대가족,아주 넉넉해요,꼼꼼해요,맛있어요,"['마니', '파세요', '마니', '파세요']",0,중립
51,3번째 구매입니다 구정때 대가족들와서 너무 맛있게 잘 먹었어용,5,2024.03.06.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['3', '번째', '구매', '입니다', '구정', '때', '대가족', '들', '와', '서', '너무', '맛있게', '잘', '먹었어용']",3,긍정
52,"맛있어요~~식구들모두 잘먹어요
삼겹살먹을때 먹으니 맛있어요",5,2024.03.05.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['맛있어요', '~~', '식구', '들', '모두', '잘', '먹어요', '\n', '삼겹살', '먹을', '때', '먹으니', '맛있어요']",1,긍정
53,믿고 구매해요 맛도 좋아요,5,2024.03.05.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['믿고', '구매', '해요', '맛', '도', '좋아요']",1,긍정
54,아삭아삭 너무 맛있어요. 또 구입각입니다,5,2024.03.05.,유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,,꽤 남았어요,적당해요,맛있어요,"['아삭아삭', '너무', '맛있어요', '.', '또', '구입', '각', '입니다']",0,중립
55,깔끔하고 맛있어요 양이 적어서 아껴먹어요ㅎㅎ,5,2024.03.05.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['깔끔하고', '맛있어요', '양', '이', '적어서', '아껴', '먹어요', 'ㅎㅎ']",1,긍정
56,맛있어요! 조금만 덜 달면 좋긴 하겠어요. 초딩 입맛처럼 까다로운 딸이 이게 뭐야~~~ 하더니 생각보다 괜찮네? 하면서 오도독 잘 먹어요. 가격이 좀 내려가거나 내용물이 더 실해도 좋겠습니다...^^;,4,2024.03.05.,구매자거주인원 2인취학자녀 가정유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 2인취학자녀 가정,꽤 남았어요,꼼꼼해요,맛있어요,"['맛있어요', '!', '조금', '만', '덜', '달', '면', '좋긴', '하겠어요', '.', '초딩', '입맛', '처럼', '까다로운', '딸', '이', '이', '게', '뭐', '야', '~~~', '하더니', '생각', '보다', '괜찮네', '?', '하면서', '오도독', '잘', '먹어요', '.', '가격', '이', '좀', '내려가거나', '내용물', '이', '더', '실해도', '좋겠습니다', '...^^;']",0,중립
57,"고기랑 먹을 때 정말 좋아요, 다 먹으면 재구매할 예정입니다 :) 오도독한 식감이 너무 좋아용",5,2024.03.04.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['고기랑', '먹을', '때', '정말', '좋아요', ',', '다', '먹으면', '재구매', '할', '예정', '입니다', ':)', '오도독', '한', '식감', '이', '너무', '좋아용']",-1,부정
58,이번이 3번째 재구매 입니다. 자취생에게 필수 밑반찬이어서 없으면 이제 심심하네요. ㅎㅎ 너무 맛있습니다.,5,2024.03.04.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요,"['이번', '이', '3', '번째', '재구매', '입니다', '.', '자취', '생', '에게', '필수', '밑반찬', '이어서', '없으면', '이제', '심심하네요', '.', 'ㅎㅎ', '너무', '맛있습니다', '.']",2,긍정
59,아삭한게 너무 맛있어요,5,2024.03.04.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['아', '삭', '한', '게', '너무', '맛있어요']",0,중립
60,찐맛있어요 ㅋㅋ 입맛까다로윤 남편입에서 맛있단말 나와요 ㅋ,5,2024.03.03.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['찐', '맛있어요', 'ㅋㅋ', '입맛', '까다로', '윤', '남편', '입', '에서', '맛있', '단말', '나와요', 'ㅋ']",0,중립
61,고기랑 먹음 앗있을것 같아용,5,2024.03.03.,맛 만족도평범해요유통기한꽤 남았어요포장꼼꼼해요,,평범해요,꽤 남았어요,꼼꼼해요,"['고기랑', '먹음', '앗있을것', '같아용']",0,중립
62,밑반찬으로 냉장고에 두고 먹으니 좋네요~,5,2024.03.02.,구매자거주인원 4인취학자녀 가정유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 4인취학자녀 가정,아주 넉넉해요,꼼꼼해요,맛있어요,"['밑반찬', '으로', '냉장고', '에', '두고', '먹으니', '좋네요', '~']",0,중립
63,부모님이 잘드시고 계세요ㅎㅎ 씹는맛이 좋은 나물장아찌 입니다 맛있어용,5,2024.03.01.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['부모님', '이', '잘', '드시고', '계세', '요', 'ㅎㅎ', '씹는', '맛', '이', '좋은', '나물', '장아찌', '입니다', '맛있어용']",4,긍정
64,"재구매로 2개 주문했어요.
진짜 믿고 먹고 있어요.
맛은 최고여요~~",5,2024.03.01.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['재', '구매', '로', '2', '개', '주문', '했어요', '.', '\n', '진짜', '믿고', '먹고', '있어요', '.', '\n', '맛', '은', '최고', '여요', '~~']",3,긍정
65,맛있게잘먹구있어요 입맛없을때 좋은거같아요,5,2024.02.29.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요,"['맛있게잘', '먹구있어요', '입맛', '없을', '때', '좋은', '거', '같아요']",2,긍정
66,깨끗하고 맛있어요.~,5,2024.02.29.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['깨끗하고', '맛있어요', '.~']",2,긍정
67,"늘 맛있게 먹고 있어요
좋아요",5,2024.02.29.,맛 만족도평범해요유통기한꽤 남았어요포장적당해요,,평범해요,꽤 남았어요,적당해요,"['늘', '맛있게', '먹고', '있어요', '\n', '좋아요']",2,긍정
68,"궁채 장아찌중 제일맛있어요
잘먹을께요",5,2024.02.29.,유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,,꽤 남았어요,적당해요,맛있어요,"['궁채', '장아찌', '중', '제일', '맛있어요', '\n', '잘', '먹을께요']",1,긍정
69,아삭아삭 맛있어서 재구매각.,5,2024.02.28.,유통기한아주 넉넉해요포장적당해요맛 만족도맛있어요,,아주 넉넉해요,적당해요,맛있어요,"['아삭아삭', '맛있어서', '재구', '매각', '.']",0,중립
70,배송빠르고 잘 받았습니다.,5,2024.02.28.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['배송', '빠르고', '잘', '받았습니다', '.']",1,긍정
